1,Math,Complex Numbers,"A, C","Let $z$ be a complex number such that the imaginary part of $z$ is non-zero and $a=z^2+z+1$ is real. Then $a$ cannot take the value"",",-1,$\\frac{1}{3}$,$\\frac{1}{2}$,$\\frac{3}{4}$,4,"$\\text{lm}(z)\\neq0 \\Rightarrow z$ is non real and equation $z^2+z+(1-a)=0$ will have non real roots, if $D<0$ <br>$\\Rightarrow 1-4(1-a)<0 \\Rightarrow 4a<3 \\Rightarrow a<\\frac{3}{4}$ <br> $a$ cannot take the value $\\frac{3}{4}$.",2012,
2,Math,Straight Lines and Pair of Straight Lines,"A, C","The locus of a variable point whose distance from (-2, 0) is $\\frac{2}{3}$ times its distance from the line $x=-\\frac{9}{2}$ is",ellipse,parabola,hyperbola,none of these,4,"If variable point is $P$ and $ S (-2,0)$ then $PS=\\frac{2}{3} PM$ where $PM$ is the perpendicular distance of point $P$ from given line $x=-\\frac{9}{2}$<br>
By definition $P$ describes an ellipse. $(e=\\frac{2}{3}<1)$",1994,
3,Math,Differentiation,"A, C","If $f(x)$ is a twice differentiable function and given that $f(1)=1$; $f(2)=4$, $f(3)=9$, then","$f^{''} (x)=2$ for all $x \\in (1,3)$","$f^{''} (x)=f^{'} (x)=5$ for some $x \\in (2,3)$","$f^{''} (x)=3$ for all $x \\in (2,3)$","$f^{''} (x)=2$ for somel $x \\in (1,3)$",4,"Let us consider the function $g(x)=f(x)-x^2$ so that<br>
$g(1)=f(1)-1^2=1-1=0$<br>
$g(2)=f(2)-2^2=4-4=0$<br>
$g(3)=f(3)-3^2=9-9=0$<br>
Since $f(x)$ is twice differentiable we can say $g(x)$ is continuous and differentiable everywhere and $g(1)=g(2)=g(3)$<br>
By Rolle's theorem, $g^{'} (c)=0$ for some $c \\in (1,2)$ and $g^{'} (d)=0$ for some $d \\in (2,3)$<br>
Again by Rolle's theorem,$ g^{''} (e)=0$ for some $e \\in (c,d) \\Rightarrow e \\in (1,3)$<br>
$\\Rightarrow f^{''} (e)-2=0$ or $f^{''} (e)=2$ for some $x \\in (1,3)$<br>
$f^{''} (x)=2$ for some $x \\in (1,3)$",1994,
4,Math,Probability,"A, C","An unbiased die with faces marked 1, 2, 3, 4, 5 and 6 is rolled four times. Out of four face values obtained, the probability that the minimum face value is not less than 2 and the maximum face value is not greater than 5, is then:",$\\frac{16}{81}$,$\\frac{1}{81}$,$\\frac{80}{81}$,$\\frac{65}{81}$,1,"The minimum face value is not less than 2 and maximum face value is not greater than 5 if we get any of the numbers 2, 3, 4, 5, while total possible out comes are 1, 2, 3, 4, 5 and 6.
In one throw of die, probability of getting any number.<br>
Out of 2, 3, 4 and 5 is = $\\frac{4}{6} = \\frac{2}{3}$<br>
If the die is rolled four times, then all these events being independent, the required probability $(\\frac{2}{3})^4=\\frac{16}{81}$",1993,
5,Chemistry,Classification of Elements and Periodicity in Properties,"A, C","The first ionisation potential of Na, Mg, Al and Si are in the order",Na < Mg > Al < Si,Na > Mg > Al > Si,Na < Mg < Al < Si,Na > Mg > Al < Si,1,"NOTE: First ionisation potential increases from left to right in a period. But Mg is more stable than Al due to fully filled-3s orbitals. $\\text{IE}_1$ of Mg is higher than that of Na because of increased nuclear charge and also that of Al because in Mg a 3 s-electron has to be removed while in Al it is the 3 p-electron. The $\\text{IE}_1$ of Si is, however, higher than those of Mg and Al because of its increased nuclear charge. Thus, the overall order is Na < Mg > Al < Si.",1988,1
6,Chemistry,Some Basic Concepts of Chemistry,"A, C",27 g of Al will react completely with how many grams of oxygen?,8g,16g,32g,24g,4,"$4\\text{AI}+3\\text{O}_2 \\rightarrow 2\\text{AI}_2\\text{O}_3$<br>
At.wt of AI = 27<br>
Thus $34 \\times 27\\text{g}$ of AI reacts with oxygen = $3 \\times 32\\text{g}$<br>
27g of AI reacts with oxygen = $\\frac{3 \\times 32}{4 \\times 27} \\times 27\\text{g} = 24\\text{g}$",1978,
7,Chemistry,Chemical Kinetics and Nuclear Chemistry,"A, C","The half-life period of a radioactive element is 140 days. After 560 days, one gram of the element will reduced to:",$\\frac{1}{2}\\text{g}$,$\\frac{1}{4}\\text{g}$,$\\frac{1}{8}\\text{g}$,$\\frac{1}{16}\\text{g}$,4,"$N=N_{0}\\left(\\frac{1}{2}\\right)^{n}$<br> where, $N$ = Amount of radioactive substance which is left after certain number of half-life periods ($n$)<br>
$N_{0}= \\text{Initial amount of radioactive substances.}$<br>
$\\text{No.of half-lives}=\\frac{\\text{total time}}{\\text{half life period}}=\\frac{560}{140}=4$<br>
In $'n'$ half-lives, the element will reduce to  $\\left(\\frac{1}{2}\\right)^{n} \\times \\text{Initial wt.}=\\left(\\frac{1}{2}\\right)^{4} \\times 1=\\frac{1}{16} \\text{g}$",1986,1
8,Physics,Laws of Motion,"A, C",Speeds of two identical cars are $u$ and $4u$ at the specific instant. The ratio of the respective distances in which the two cars stopped from that instant is,$1:1$,$1:4$,$1:8$,$1:16$,1,"$\\Delta K = FS$<br>
$\\frac{1}{2}mu^2 = F \\times S_1$<br>
$\\frac{1}{2}m(4u)^2 = FS_2$<br>
Dividing (i) and (ii), <br>
$\\frac{u^2}{16u^2} = \\frac{2as_1}{2as_2} \\Rightarrow \\frac{1}{16} = \\frac{s_1}{s_2}$",2002,
9,Physics,Units and Measurements,"A, C","The dimension of magnetic field in M, L, T and C (coulomb) is given as",$\\text{ML}\\text{T}^{-1}\\text{C}^{-1}$,$\\text{M}\\text{T}^{2}\\text{C}^{-2}$,$\\text{M}\\text{T}^{-1}\\text{C}^{-1}$,$\\text{M}\\text{T}^{-2}\\text{C}^{-1}$,3,"$F=qvB$<br>
$B=\\frac{F}{qv}=\\frac{\\text{ML}\\text{T}^{-2}}{\\text{C}\\times\\text{L}\\text{T}^{-1}}=\\text{M}\\text{T}^{-1}\\text{C}^{-1}$",2008,
10,Physics,Units and Measurements,B,"The period of oscillation of a simple pendulum is $T = 2\\pi\\sqrt{\\frac{L}{g}}$.<br>
Measured value of $L$ is 20.0 cm known to 1 mm accuracy and time for 100 oscillations of the pendulum is found to be 90 s using a wrist watch of 1s resolution. The accuracy in the determination of $g$ is: ",$1\\%$,$5\\%$,$2\\%$,$3\\%$,4,"As, $g = 4{\\pi}^2\\frac{l}{T^2}$<br>
So, $\\frac{\\Delta g}{g} \\times 100 = \\frac{\\Delta l}{l} \\times 100 + 2\\frac{\\Delta T}{T} \\times 100$<br>
$\\frac{0.1}{2.0} \\times 100 +2 \\times \\frac{1}{90} \\times 100 = 2.72 \\approx 3\\%$",2015,
